"","gemeinde_nummer","gemeinde_name_x","total_2026","gemeinde_name_y","total_2025","diff","pourc_diff","abs_pourc_diff"
"888",88,"Neerach",24.14,"Neerach",27.51,3.37,12.25,12.25
"889",101,"Steinmaur",24.14,"Steinmaur",27.51,3.37,12.25,12.25
"890",55,"Eglisau",24.14,"Eglisau",27.51,3.37,12.25,12.25
"891",8,"Maschwanden",24.14,"Maschwanden",27.51,3.37,12.25,12.25
"892",180,"Weisslingen",24.14,"Weisslingen",27.51,3.37,12.25,12.25
"893",227,"Seuzach",24.14,"Seuzach",27.51,3.37,12.25,12.25
"894",244,"Geroldswil",24.14,"Geroldswil",27.51,3.37,12.25,12.25
"895",194,"Greifensee",24.14,"Greifensee",27.51,3.37,12.25,12.25
"896",83,"Buchs (ZH)",24.14,"Buchs (ZH)",27.51,3.37,12.25,12.25
"897",27,"Feuerthalen",24.14,"Feuerthalen",27.51,3.37,12.25,12.25
"898",1704,"Menzingen",24.63,"Menzingen",28.84,4.21,14.6,14.6
"899",14,"Wettswil am Albis",24.14,"Wettswil am Albis",27.51,3.37,12.25,12.25
"900",67,"Rafz",24.14,"Rafz",27.51,3.37,12.25,12.25
"901",68,"Rorbas",24.14,"Rorbas",27.51,3.37,12.25,12.25
"902",251,"Weiningen (ZH)",24.14,"Weiningen (ZH)",27.51,3.37,12.25,12.25
"903",82,"Boppelsen",24.14,"Boppelsen",27.51,3.37,12.25,12.25
"904",3,"Bonstetten",24.14,"Bonstetten",27.51,3.37,12.25,12.25
"905",5,"Hedingen",24.14,"Hedingen",27.51,3.37,12.25,12.25
"906",6,"Kappel am Albis",24.14,"Kappel am Albis",27.51,3.37,12.25,12.25
"907",84,"Dällikon",24.14,"Dällikon",27.51,3.37,12.25,12.25
"908",40,"Trüllikon",24.14,"Trüllikon",27.51,3.37,12.25,12.25
"909",246,"Oetwil an der Limmat",24.14,"Oetwil an der Limmat",27.51,3.37,12.25,12.25
"910",100,"Stadel",24.14,"Stadel",27.51,3.37,12.25,12.25
"911",214,"Dägerlen",24.14,"Dägerlen",27.51,3.37,12.25,12.25
"912",137,"Oberrieden",24.14,"Oberrieden",27.51,3.37,12.25,12.25
"913",135,"Kilchberg (ZH)",24.14,"Kilchberg (ZH)",27.51,3.37,12.25,12.25
"914",24,"Buch am Irchel",24.14,"Buch am Irchel",27.51,3.37,12.25,12.25
"915",250,"Urdorf",24.14,"Urdorf",27.51,3.37,12.25,12.25
"916",95,"Regensberg",24.14,"Regensberg",27.51,3.37,12.25,12.25
"917",52,"Bassersdorf",24.14,"Bassersdorf",27.51,3.37,12.25,12.25
"918",117,"Hinwil",24.14,"Hinwil",27.51,3.37,12.25,12.25
"919",53,"Bülach",24.14,"Bülach",27.51,3.37,12.25,12.25
"920",28,"Flaach",24.14,"Flaach",27.51,3.37,12.25,12.25
"921",247,"Schlieren",24.14,"Schlieren",27.51,3.37,12.25,12.25
"922",70,"Wasterkingen",24.14,"Wasterkingen",27.51,3.37,12.25,12.25
"923",29,"Flurlingen",24.14,"Flurlingen",27.51,3.37,12.25,12.25
"924",213,"Brütten",24.14,"Brütten",27.51,3.37,12.25,12.25
"925",87,"Hüttikon",24.14,"Hüttikon",27.51,3.37,12.25,12.25
"926",39,"Thalheim an der Thur",24.14,"Thalheim an der Thur",27.51,3.37,12.25,12.25
"927",219,"Elsau",24.14,"Elsau",29.91,5.77,19.29,19.29
"928",72,"Winkel",24.14,"Winkel",27.51,3.37,12.25,12.25
"929",182,"Wildberg",24.14,"Wildberg",27.51,3.37,12.25,12.25
"930",12,"Rifferswil",24.14,"Rifferswil",27.51,3.37,12.25,12.25
"931",292,"Stammheim",24.14,"Stammheim",27.51,3.37,12.25,12.25
"932",11,"Ottenbach",24.14,"Ottenbach",27.51,3.37,12.25,12.25
"933",293,"Wädenswil",24.14,"Wädenswil",27.51,3.37,12.25,12.25
