"","gemeinde_nummer","gemeinde_f","total","tooltip"
"851",2548,"Hubersdorf",28.2,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.2$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.1$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"852",3002,"Hundwil",30.07,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£St. Gallisch-Appenzellische Kraftwerke AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.07$/td£$td style='text-align:right@'£15.94$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.83$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"853",4200,"Hunzenschwil",33.01,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Energie Hunzenschwil AG (ENH¢$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£33.01$/td£$td style='text-align:right@'£16.1$/td£$td style='text-align:right@'£0.5$/td£$td style='text-align:right@'£14.11$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"854",954,"Huttwil",34.95,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Industrielle Betriebe Huttwil AG$/td£$td style='background-color:#d13728@color:black@text-align:right@'£34.95$/td£$td style='text-align:right@'£17.4$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.75$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"855",2847,"Häfelfingen",31.88,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EBL (Genossenschaft Elektra Baselland¢$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.88$/td£$td style='text-align:right@'£13.05$/td£$td style='text-align:right@'£0.34$/td£$td style='text-align:right@'£16.2$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"856",2579,"Hägendorf",31.24,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£eug Elektra Untergäu Genossenschaft$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.24$/td£$td style='text-align:right@'£17.89$/td£$td style='text-align:right@'£0.7$/td£$td style='text-align:right@'£10.35$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"857",3201,"Häggenschwil",32.78,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Politische Gemeinde§ Häggenschwil§ Elektrizitätsversorgung$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.78$/td£$td style='text-align:right@'£14.7$/td£$td style='text-align:right@'£0.9$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"858",4068,"Hägglingen",29.93,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.93$/td£$td style='text-align:right@'£15.09$/td£$td style='text-align:right@'£0.67$/td£$td style='text-align:right@'£11.88$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"859",2402,"Härkingen",29.84,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£HEnergie Härkingen HEH$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.84$/td£$td style='text-align:right@'£15.32$/td£$td style='text-align:right@'£0.3$/td£$td style='text-align:right@'£11.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"860",609,"Häutligen",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"861",6084,"Hérémence",28.53,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£OIKEN SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.53$/td£$td style='text-align:right@'£16.4$/td£$td style='text-align:right@'£1.03$/td£$td style='text-align:right@'£8.8$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"862",410,"Höchstetten",27.1,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.1$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"863",2886,"Hölstein",31.88,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EBL (Genossenschaft Elektra Baselland¢$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.88$/td£$td style='text-align:right@'£13.05$/td£$td style='text-align:right@'£0.34$/td£$td style='text-align:right@'£16.2$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"864",60,"Höri",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"865",1703,"Hünenberg",29.94,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EGH Elektro-Genossenschaft Hünenberg$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.94$/td£$td style='text-align:right@'£16.3$/td£$td style='text-align:right@'£0.96$/td£$td style='text-align:right@'£10.39$/td£$td style='text-align:right@'£2.3$/td£$/tr£$tr£$td£WWZ Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.8$/td£$td style='text-align:right@'£13.65$/td£$td style='text-align:right@'£0.96$/td£$td style='text-align:right@'£12.89$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"866",2524,"Hüniken",36.24,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Genossenschaft Elektra Äusseres Wasseramt EAW$/td£$td style='background-color:#d13728@color:black@text-align:right@'£36.24$/td£$td style='text-align:right@'£21.61$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.33$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"867",61,"Hüntwangen",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"868",87,"Hüttikon",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"869",4821,"Hüttwilen",26.38,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Politische Gemeinde Hüttwilen§ Elektrizitätswerk$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£26.38$/td£$td style='text-align:right@'£11$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.08$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"870",6239,"Icogne",28.53,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£OIKEN SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.53$/td£$td style='text-align:right@'£16.4$/td£$td style='text-align:right@'£1.03$/td£$td style='text-align:right@'£8.8$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"871",541,"Iffwil",31.2,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Genossenschaft Elektra§ Jegenstorf$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.2$/td£$td style='text-align:right@'£14.9$/td£$td style='text-align:right@'£0.9$/td£$td style='text-align:right@'£13.1$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"872",3619,"Ilanz/Glion",28.18,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Repower AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.18$/td£$td style='text-align:right@'£9$/td£$td style='text-align:right@'£1$/td£$td style='text-align:right@'£15.88$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"873",1363,"Illgau",27.56,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£ebs Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.56$/td£$td style='text-align:right@'£11.88$/td£$td style='text-align:right@'£1.24$/td£$td style='text-align:right@'£12.14$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"874",296,"Illnau-Effretikon",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"875",6109,"Inden",23.94,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£RELL AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£23.94$/td£$td style='text-align:right@'£8.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.76$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"876",1364,"Ingenbohl",28.43,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EWS AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.43$/td£$td style='text-align:right@'£12.84$/td£$td style='text-align:right@'£1.25$/td£$td style='text-align:right@'£12.04$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"877",980,"Inkwil",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"878",1343,"Innerthal",38.04,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätsversorgung Innerthal$/td£$td style='background-color:#d13728@color:black@text-align:right@'£38.04$/td£$td style='text-align:right@'£19.17$/td£$td style='text-align:right@'£0.3$/td£$td style='text-align:right@'£16.27$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"879",784,"Innertkirchen",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"880",496,"Anet",35.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Einwohnergemeinde Ins§ Elektrizitätsversorgung$/td£$td style='background-color:#d13728@color:black@text-align:right@'£35.6$/td£$td style='text-align:right@'£18.5$/td£$td style='text-align:right@'£1.65$/td£$td style='text-align:right@'£13.15$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"881",581,"Interlaken",32.89,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Industrielle Betriebe Interlaken (IBI¢ AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.89$/td£$td style='text-align:right@'£18.08$/td£$td style='text-align:right@'£0.41$/td£$td style='text-align:right@'£12.11$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"882",1033,"Inwil",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"883",739,"Ipsach",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"884",582,"Iseltwald",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"885",1211,"Isenthal",30.01,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EWA-energieUri AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.01$/td£$td style='text-align:right@'£14.05$/td£$td style='text-align:right@'£1$/td£$td style='text-align:right@'£12.66$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"886",4084,"Islisberg",29.25,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektra Genossenschaft Arni-Islisberg$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.25$/td£$td style='text-align:right@'£15.5$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.45$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"887",5009,"Isone",34.43,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£AZIENDA ELETTRICA DI MASSAGNO (AEM¢ SA$/td£$td style='background-color:#d13728@color:black@text-align:right@'£34.43$/td£$td style='text-align:right@'£15.05$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£14.85$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"888",6134,"Isérables",26.64,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Genedis SA$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£26.64$/td£$td style='text-align:right@'£12.5$/td£$td style='text-align:right@'£0.96$/td£$td style='text-align:right@'£10.88$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"889",2849,"Itingen",31.54,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EBL (Genossenschaft Elektra Baselland¢$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.54$/td£$td style='text-align:right@'£13.05$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£16.2$/td£$td style='text-align:right@'£2.3$/td£$/tr£$tr£$td£Genossenschaft Elektra Itingen$/td£$td style='background-color:#d13728@color:black@text-align:right@'£33.34$/td£$td style='text-align:right@'£17.46$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.57$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"890",362,"Ittigen",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"891",868,"Jaberg",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"892",2138,"Bellegarde",28.9,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Groupe E SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.9$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"893",540,"Jegenstorf",31.2,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Genossenschaft Elektra§ Jegenstorf$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.2$/td£$td style='text-align:right@'£14.9$/td£$td style='text-align:right@'£0.9$/td£$td style='text-align:right@'£13.1$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"894",3863,"Jenaz",28.68,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Repower AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.68$/td£$td style='text-align:right@'£9$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£15.88$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"895",3952,"Jenins",27.89,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Politische Gemeinde Jenins§ Energieversorgung$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£10.1$/td£$td style='text-align:right@'£0.8$/td£$td style='text-align:right@'£14.69$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"896",738,"Jens",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
